 286295 224918  469.44186   61  310  443.00000  476.41667  7.54%   104  285s
 290667 228593  472.70000   59  287  443.00000  476.39286  7.54%   104  290s
 295580 232870  455.16439  113  224  443.00000  476.37669  7.53%   105  296s
 299757 236936  444.81351   90  171  443.00000  476.36418  7.53%   105  300s
 304264 240505  469.98029   66  281  443.00000  476.34137  7.53%   105  305s
 308864 244550  463.29167   91  242  443.00000  476.32586  7.52%   105  310s
 313357 248457  449.73636  156  150  443.00000  476.31433  7.52%   105  315s
 319016 253645  469.38296   59  296  443.00000  476.28314  7.51%   105  320s
 323123 257100  473.50000   47  237  443.00000  476.26711  7.51%   105  325s
 326962 260762  447.29167  182  156  443.00000  476.25000  7.51%   106  330s
 331725 264768  456.81618  106  260  443.00000  476.25000  7.51%   106  335s
 336142 268724  469.52804   57  301  443.00000  476.22777  7.50%   106  340s
 340915 272965  446.31498  147  127  443.00000  476.21997  7.50%   106  345s
 346743 277812  460.72651   85  297  443.00000  476.20284  7.49%   106  350s
 350935 281590  446.88889  137  179  443.00000  476.19139  7.49%   106  355s
 355285 285235  461.62150   81  232  443.00000  476.17754  7.49%   106  360s
 359917 289584     cutoff  131       443.00000  476.15972  7.49%   106  365s
 365238 294604  460.41640   97  228  443.00000  476.14076  7.48%   107  371s
 370278 298631  445.03677  152  143  443.00000  476.12521  7.48%   107  375s
 374098 302217  470.83500   61  302  443.00000  476.11768  7.48%   107  380s
 379122 306481  472.40331   54  330  443.00000  476.09444  7.47%   107  385s
 383437 310424  453.58278  103  156  443.00000  476.08750  7.47%   107  391s
 387089 313734  448.50000   81  183  443.00000  476.07461  7.47%   107  395s
 392008 317872  452.09302  150  165  443.00000  476.05992  7.46%   107  400s
 396381 321850  461.60000   88  298  443.00000  476.04544  7.46%   107  405s
 401149 326023  444.11111   96  167  443.00000  476.03333  7.46%   108  410s
 407081 330840     cutoff  145       443.00000  476.00455  7.45%   108  416s
 410525 334031  452.70879  133  237  443.00000  476.00000  7.45%   108  420s
 415080 338413  449.63209  129  148  443.00000  476.00000  7.45%   108  425s
 420041 342416  462.97727   93  219  443.00000  476.00000  7.45%   108  430s
